session_id,protocol,attack_type,attack_category,attack_applicable,message_count,payload_size,repeat_id,sent_count,accepted_count,rejected_count,timeout_count,error_count,success_rate,attack_injected,attack_detected_by_server,throughput_msg_per_sec,rtt_mean_ms,rtt_std_ms,rtt_min_ms,rtt_max_ms,rtt_median_ms,elapsed_seconds,expected_session_id,packet_session_id,connection_bound_session_id,rejection_reason,rejection_class,attack_expected_reason,attack_reason_match,experiment_id,run_id,git_commit,python_version,os_info,random_seed,command_line,experiment_type
baseline-gmcp_r-none-m100-p128-r1-1783669909462330,gmcp_r,none,none,True,100,128,1,100,100,0,0,0,100.0,False,False,8296.19,0.1,0.02,0.08,0.22,0.1,0.01,baseline-gmcp_r-none-m100-p128-r1-1783669909462330,baseline-gmcp_r-none-m100-p128-r1-1783669909462330,baseline-gmcp_r-none-m100-p128-r1-1783669909462330,,,,False,exp-1783669909443-267549a6,92614d41152d,b6365e2,3.11.15,Darwin 24.6.0,2147483648,run_real_baseline_comparison.py,real_baseline_comparison
baseline-gmcp_r-none-m100-p128-r2-1783669909591483,gmcp_r,none,none,True,100,128,2,100,100,0,0,0,100.0,False,False,5556.77,0.16,0.13,0.08,0.99,0.1,0.02,baseline-gmcp_r-none-m100-p128-r2-1783669909591483,baseline-gmcp_r-none-m100-p128-r2-1783669909591483,baseline-gmcp_r-none-m100-p128-r2-1783669909591483,,,,False,exp-1783669909443-267549a6,92614d41152d,b6365e2,3.11.15,Darwin 24.6.0,2147483648,run_real_baseline_comparison.py,real_baseline_comparison
baseline-gmcp_r-none-m100-p128-r3-1783669909712786,gmcp_r,none,none,True,100,128,3,100,100,0,0,0,100.0,False,False,5863.7,0.15,0.15,0.09,1.44,0.12,0.02,baseline-gmcp_r-none-m100-p128-r3-1783669909712786,baseline-gmcp_r-none-m100-p128-r3-1783669909712786,baseline-gmcp_r-none-m100-p128-r3-1783669909712786,,,,False,exp-1783669909443-267549a6,92614d41152d,b6365e2,3.11.15,Darwin 24.6.0,2147483648,run_real_baseline_comparison.py,real_baseline_comparison
baseline-gmcp_r-none-m100-p128-r4-1783669909830822,gmcp_r,none,none,True,100,128,4,100,100,0,0,0,100.0,False,False,7076.13,0.12,0.02,0.1,0.2,0.11,0.01,baseline-gmcp_r-none-m100-p128-r4-1783669909830822,baseline-gmcp_r-none-m100-p128-r4-1783669909830822,baseline-gmcp_r-none-m100-p128-r4-1783669909830822,,,,False,exp-1783669909443-267549a6,92614d41152d,b6365e2,3.11.15,Darwin 24.6.0,2147483648,run_real_baseline_comparison.py,real_baseline_comparison
baseline-gmcp_r-none-m100-p128-r5-1783669909946147,gmcp_r,none,none,True,100,128,5,100,100,0,0,0,100.0,False,False,6458.34,0.13,0.03,0.1,0.22,0.12,0.02,baseline-gmcp_r-none-m100-p128-r5-1783669909946147,baseline-gmcp_r-none-m100-p128-r5-1783669909946147,baseline-gmcp_r-none-m100-p128-r5-1783669909946147,,,,False,exp-1783669909443-267549a6,92614d41152d,b6365e2,3.11.15,Darwin 24.6.0,2147483648,run_real_baseline_comparison.py,real_baseline_comparison
baseline-gmcp_r-none-m100-p128-r6-1783669910066363,gmcp_r,none,none,True,100,128,6,100,100,0,0,0,100.0,False,False,6343.95,0.14,0.08,0.09,0.85,0.12,0.02,baseline-gmcp_r-none-m100-p128-r6-1783669910066363,baseline-gmcp_r-none-m100-p128-r6-1783669910066363,baseline-gmcp_r-none-m100-p128-r6-1783669910066363,,,,False,exp-1783669909443-267549a6,92614d41152d,b6365e2,3.11.15,Darwin 24.6.0,2147483648,run_real_baseline_comparison.py,real_baseline_comparison
baseline-gmcp_r-none-m100-p128-r7-1783669910187618,gmcp_r,none,none,True,100,128,7,100,100,0,0,0,100.0,False,False,6947.89,0.13,0.03,0.09,0.22,0.11,0.01,baseline-gmcp_r-none-m100-p128-r7-1783669910187618,baseline-gmcp_r-none-m100-p128-r7-1783669910187618,baseline-gmcp_r-none-m100-p128-r7-1783669910187618,,,,False,exp-1783669909443-267549a6,92614d41152d,b6365e2,3.11.15,Darwin 24.6.0,2147483648,run_real_baseline_comparison.py,real_baseline_comparison
baseline-gmcp_r-none-m100-p128-r8-1783669910307393,gmcp_r,none,none,True,100,128,8,100,100,0,0,0,100.0,False,False,5707.47,0.16,0.1,0.08,0.93,0.15,0.02,baseline-gmcp_r-none-m100-p128-r8-1783669910307393,baseline-gmcp_r-none-m100-p128-r8-1783669910307393,baseline-gmcp_r-none-m100-p128-r8-1783669910307393,,,,False,exp-1783669909443-267549a6,92614d41152d,b6365e2,3.11.15,Darwin 24.6.0,2147483648,run_real_baseline_comparison.py,real_baseline_comparison
baseline-gmcp_r-none-m100-p128-r9-1783669910430453,gmcp_r,none,none,True,100,128,9,100,100,0,0,0,100.0,False,False,7173.67,0.12,0.02,0.1,0.24,0.11,0.01,baseline-gmcp_r-none-m100-p128-r9-1783669910430453,baseline-gmcp_r-none-m100-p128-r9-1783669910430453,baseline-gmcp_r-none-m100-p128-r9-1783669910430453,,,,False,exp-1783669909443-267549a6,92614d41152d,b6365e2,3.11.15,Darwin 24.6.0,2147483648,run_real_baseline_comparison.py,real_baseline_comparison
baseline-gmcp_r-none-m100-p128-r10-1783669910549281,gmcp_r,none,none,True,100,128,10,100,100,0,0,0,100.0,False,False,6920.38,0.13,0.03,0.1,0.22,0.11,0.01,baseline-gmcp_r-none-m100-p128-r10-1783669910549281,baseline-gmcp_r-none-m100-p128-r10-1783669910549281,baseline-gmcp_r-none-m100-p128-r10-1783669910549281,,,,False,exp-1783669909443-267549a6,92614d41152d,b6365e2,3.11.15,Darwin 24.6.0,2147483648,run_real_baseline_comparison.py,real_baseline_comparison
