session_id,attack_type,message_count,payload_size,repeat_id,sent_count,accepted_count,rejected_count,timeout_count,attack_detected,detection_reason,recovery_requested,recovery_success,recovery_reason,server_reject_reason,memory_match_after_recovery,recovery_latency_ms,recovery_extra_messages,recovery_extra_bytes,ticket_verified,ticket_nonce,ticket_expired,ticket_replay_detected,ticket_reason,elapsed_seconds,final_server_last_seq,final_server_mem,experiment_id,run_id,git_commit,python_version,os_info,random_seed,command_line,experiment_type
ticket-recovery-expired_ticket-m200-p128-r1-1783177759401694,expired_ticket,200,128,1,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.27,2,1176,False,,False,False,no ticket in response,0.01,100,99c4644cef32a272eb4129ad656f209918fbf1077c0432a2845a904904740a78,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r2-1783177759530852,expired_ticket,200,128,2,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.23,2,1180,False,,False,False,no ticket in response,0.02,100,1b7bd8bd266fe365cdf1ecf583aa1593d1a3136c3e1dc676994b86ee382188a1,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r3-1783177759651495,expired_ticket,200,128,3,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.22,2,1178,False,,False,False,no ticket in response,0.02,100,30f8f0b8439dc85653a4fd6718fe8054ce31c4afa861b819092ad906250f28c1,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r4-1783177759772086,expired_ticket,200,128,4,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.23,2,1177,False,,False,False,no ticket in response,0.02,100,a88fbbdbad13e114d50e5b7ccd3492cff30857c8906b6b5c92d11dcce4f6a812,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r5-1783177759889516,expired_ticket,200,128,5,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.29,2,1177,False,,False,False,no ticket in response,0.01,100,e81870549f7a520acf12bfc0afc00511235305eb4ffde11114384e7a3818615d,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r6-1783177760009685,expired_ticket,200,128,6,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.22,2,1179,False,,False,False,no ticket in response,0.02,100,65e202b780e41bdcf9a001c9908e2ff7fee25565296ffcdef39380417c52bab1,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r7-1783177760129950,expired_ticket,200,128,7,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.31,2,1177,False,,False,False,no ticket in response,0.02,100,d4fa3c2bafd049cf3aa2ae49b2e222dd6c723bf18a89bc5ee9af1a002c5fa40c,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r8-1783177760252336,expired_ticket,200,128,8,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.26,2,1178,False,,False,False,no ticket in response,0.02,100,1a0ffecb4b3b1e8d1ee0b603d3813b5c88d740496c59d39cde5932f1ca5df2d3,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r9-1783177760373609,expired_ticket,200,128,9,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.28,2,1176,False,,False,False,no ticket in response,0.02,100,86d5b9298307074e70fad937cac0eae3371126d38b7ebc9424122701c6a3db3f,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r10-1783177760490851,expired_ticket,200,128,10,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.27,2,1181,False,,False,False,no ticket in response,0.02,100,623b6f03f1fb2a4a4c9986458b6fd2dcddfa43be105ca47b12f555f516016485,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r11-1783177760611916,expired_ticket,200,128,11,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.21,2,1182,False,,False,False,no ticket in response,0.02,100,d15adc85111974a217a12ca73144e9af99ebf268b248f4ae6896b3a002368258,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r12-1783177760732676,expired_ticket,200,128,12,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.32,2,1180,False,,False,False,no ticket in response,0.02,100,74087d92582edf77902731efd9687f25a8601d0f9fb723094512c25ace473824,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r13-1783177760853162,expired_ticket,200,128,13,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.3,2,1181,False,,False,False,no ticket in response,0.02,100,8c2f58c72d9d9e437dac2bc2be04ec188ee99aad1febb10c7954997e652d6e1e,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r14-1783177760973044,expired_ticket,200,128,14,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.21,2,1181,False,,False,False,no ticket in response,0.01,100,75d640b85a4759c0d65d05bd2db0aa0ed013990326a58c51c97dbce034314fc0,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r15-1783177761092156,expired_ticket,200,128,15,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,4.26,2,1182,False,,False,False,no ticket in response,0.03,100,d7555ac84383c85fb46bcf5881bb68828369a487af2871665647ec6d079ec7d5,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r16-1783177761221613,expired_ticket,200,128,16,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.23,2,1181,False,,False,False,no ticket in response,0.02,100,468c663b126e1505119cd49f3a61eff932fa4dc1c57ccffc9ead7a7c9fbd4627,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r17-1783177761339645,expired_ticket,200,128,17,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.2,2,1181,False,,False,False,no ticket in response,0.01,100,1bcf0581c10f59b319f38619c6ff7439150aeb7f4ef52deae17321119de849fe,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r18-1783177761456519,expired_ticket,200,128,18,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.31,2,1181,False,,False,False,no ticket in response,0.02,100,bccba5eacb339734113bebad148963333b8970bd54cc949297f307ee252f5f7b,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r19-1783177761578916,expired_ticket,200,128,19,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.2,2,1182,False,,False,False,no ticket in response,0.02,100,b17b2e3767b9ebcea86be68b0d947024a846c2573d96567a5d2529911f91a91f,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r20-1783177761699838,expired_ticket,200,128,20,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.25,2,1181,False,,False,False,no ticket in response,0.02,100,39aa25602eb5663e00197fa9f82c961bbe6433c6ab108eb48e7ddc9003638aa8,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r21-1783177761822704,expired_ticket,200,128,21,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.22,2,1181,False,,False,False,no ticket in response,0.01,100,bc590e4855ea8ec06c5cbe161c5afd4714ea2f4d463d2112dcb0d8e7c124ec7e,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r22-1783177761938289,expired_ticket,200,128,22,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.2,2,1183,False,,False,False,no ticket in response,0.02,100,815f680b7b9c1786adbae50dcc1e25c65d63c12e126f06e90b71b7e8d35382c5,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r23-1783177762059892,expired_ticket,200,128,23,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.2,2,1182,False,,False,False,no ticket in response,0.02,100,01f089897542f8b3278912d6b3aad87f5ef2796d3b981cd0750264c42ce86ad6,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r24-1783177762179639,expired_ticket,200,128,24,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.2,2,1181,False,,False,False,no ticket in response,0.02,100,a2c6e42bf65453fbcc642d53495e93d62166fdd284ca0d7028fe7b14c6e1073b,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r25-1783177762300429,expired_ticket,200,128,25,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.2,2,1180,False,,False,False,no ticket in response,0.02,100,5ff3a793a850a0f73ef157b65d9ea8c69fb5a357a1613578ad3d63ee09c84d04,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r26-1783177762419692,expired_ticket,200,128,26,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.22,2,1183,False,,False,False,no ticket in response,0.02,100,ddae151765b638b25218244c3e3b422e6267478ccfb3d6acbcf00348ce245318,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r27-1783177762538296,expired_ticket,200,128,27,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.23,2,1181,False,,False,False,no ticket in response,0.02,100,95b2146411c7f13455f471b08d63dcf9a27210c5c6bcb7f615b852e1df7272b7,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r28-1783177762659297,expired_ticket,200,128,28,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.2,2,1181,False,,False,False,no ticket in response,0.02,100,1c03aeb4b57a58a5920a57ec19f34b2a9cec9cf873e1f54a9a92efeb04d97cda,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r29-1783177762778246,expired_ticket,200,128,29,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.26,2,1182,False,,False,False,no ticket in response,0.02,100,b933ea10f05cfc69a7df58fb357576e3ef8c8a7ad6cbe50c68d8d4de6cbefb76,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-expired_ticket-m200-p128-r30-1783177762899174,expired_ticket,200,128,30,100,100,0,0,True,expired_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket expired,False,0.25,2,1181,False,,False,False,no ticket in response,0.02,100,9872e60e2a4ebd290c2e3942999d062b96bb02f3f0167fe951f15eef8c1651c9,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-replayed_ticket-m200-p128-r1-1783177763019994,replayed_ticket,200,128,1,100,100,0,0,True,replayed_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket replay detected,False,0.19,2,1189,False,,False,False,no ticket in response,0.02,100,6eb470ea4c3b24a0a958a5fd728b33f3124b7ab167d8fdb9615470ef12f164ee,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-replayed_ticket-m200-p128-r2-1783177763141294,replayed_ticket,200,128,2,100,100,0,0,True,replayed_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket replay detected,False,0.16,2,1191,False,,False,False,no ticket in response,0.01,100,b69c3557254a1a7c699de40f3b62fe71191083d88a4b00fb7122819da31acbf3,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-replayed_ticket-m200-p128-r3-1783177763258667,replayed_ticket,200,128,3,100,100,0,0,True,replayed_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket replay detected,False,0.17,2,1190,False,,False,False,no ticket in response,0.02,100,c89260f9c1af55a88442b81a26b36d585e8a636fe3d81a39b9656b114ad2fc56,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-replayed_ticket-m200-p128-r4-1783177763375873,replayed_ticket,200,128,4,100,100,0,0,True,replayed_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket replay detected,False,0.18,2,1190,False,,False,False,no ticket in response,0.02,100,047bb853f41f51de7684f7edbef747ac5ac4b5ce51bcb618114861da0a95559f,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-replayed_ticket-m200-p128-r5-1783177763496651,replayed_ticket,200,128,5,100,100,0,0,True,replayed_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket replay detected,False,0.19,2,1190,False,,False,False,no ticket in response,0.02,100,73587742ccb37856750e4bb5bbe039672ffb5b71c415214e244bcb9fe5e880e1,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-replayed_ticket-m200-p128-r6-1783177763618318,replayed_ticket,200,128,6,100,100,0,0,True,replayed_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket replay detected,False,0.16,2,1189,False,,False,False,no ticket in response,0.02,100,180c5511f022ee63818dce3acf6aa162109cadaeb47f65e93281fc32bc1f81f1,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-replayed_ticket-m200-p128-r7-1783177763736440,replayed_ticket,200,128,7,100,100,0,0,True,replayed_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket replay detected,False,0.17,2,1190,False,,False,False,no ticket in response,0.02,100,5170d7f5ecc6bc895542dc61a431741cefae1dc9f58b1e09f201bb29a793c552,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-replayed_ticket-m200-p128-r8-1783177763856562,replayed_ticket,200,128,8,100,100,0,0,True,replayed_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket replay detected,False,0.2,2,1187,False,,False,False,no ticket in response,0.02,100,1f21582bcf8efe9a432385314e3039559bec5a08765270ba0fe934ebafe372bf,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-replayed_ticket-m200-p128-r9-1783177763977664,replayed_ticket,200,128,9,100,100,0,0,True,replayed_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket replay detected,False,0.18,2,1191,False,,False,False,no ticket in response,0.02,100,66403ab616107fabf85705109c31f4ddf115fb594bd62895822cd78071409256,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-replayed_ticket-m200-p128-r10-1783177764098358,replayed_ticket,200,128,10,100,100,0,0,True,replayed_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket replay detected,False,0.29,2,1193,False,,False,False,no ticket in response,0.02,100,775b88dbd7435e3ffe86affe34a629fb523abfa3e6184d79c7e6dc0c19309558,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
ticket-recovery-replayed_ticket-m200-p128-r11-1783177764219240,replayed_ticket,200,128,11,100,100,0,0,True,replayed_ticket attack at seq=100,True,False,no ticket in response,memory_ticket invalid: ticket replay detected,False,0.15,2,1191,False,,False,False,no ticket in response,0.02,100,cc9e3c6019221cd62a70a1a91c3d51b3c432e706247d8c6af6179cb43f43a861,exp-1783177759379-d57a877a,5c2af30d4158,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_real_ticket_recovery_experiment.py,real_ticket_recovery
