mode,protocol,msg_count,payload_size,wall_time_sec,throughput_msg_per_sec,build_mean_us,build_std_us,build_p50_us,build_p95_us,build_p99_us,verify_mean_us,verify_std_us,verify_p50_us,verify_p95_us,verify_p99_us,e2e_mean_us,e2e_std_us,e2e_p50_us,e2e_p95_us,e2e_p99_us,repeat_id
local,gmcp_r,500,64,0.0069,72545.25,6.06,1.04,5.917,6.4191,9.0881,7.09,2.88,6.833,7.2111,9.7105,13.16,3.34,12.75,13.5872,20.6144,1
local,gmcp_r,500,64,0.0068,73251.12,6.07,1.15,5.958,6.208,8.3401,6.98,1.18,6.834,7.167,9.2123,13.05,2.09,12.792,13.333,17.6362,2
local,gmcp_r,500,64,0.0069,72296.56,6.22,4.66,5.875,6.336,8.9697,7.04,2.43,6.792,7.1691,8.7178,13.25,5.92,12.667,13.8423,19.691,3
local,gmcp_r,500,64,0.0068,73633.64,6.04,0.88,5.875,6.375,9.5844,6.94,1.25,6.833,7.125,8.6699,12.98,1.79,12.667,13.5831,17.2927,4
local,gmcp_r,500,64,0.0067,74215.63,6.03,2.44,5.833,6.2081,6.8351,6.89,1.47,6.75,7.125,7.885,12.92,3.27,12.583,13.291,15.0279,5
local,gmcp_r,500,64,0.0066,75218.6,5.97,3.42,5.75,6.166,6.6283,6.79,0.86,6.667,7.125,7.334,12.77,3.86,12.416,13.2081,14.1292,6
local,gmcp_r,500,64,0.0068,73700.56,5.99,1.31,5.709,6.7173,9.7093,6.96,3.23,6.666,7.208,7.7558,12.95,3.61,12.375,14.708,21.8788,7
local,gmcp_r,500,64,0.0069,72900.91,6.32,3.62,5.75,8.4601,12.0163,6.81,1.65,6.625,7.167,9.1802,13.13,4.43,12.417,15.2521,33.8605,8
local,gmcp_r,500,64,0.0067,75075.08,5.91,0.94,5.708,7.333,9.2957,6.85,3.75,6.583,7.083,8.7115,12.76,3.95,12.291,14.377,17.4653,9
local,gmcp_r,500,64,0.0065,76616.61,5.87,3.73,5.6665,5.8361,6.2949,6.65,1.25,6.583,6.75,7.042,12.52,4.97,12.25,12.583,13.343,10
local,gmcp_r,500,64,0.0064,77907.41,5.68,0.16,5.666,5.8331,6.0004,6.65,1.2,6.583,6.75,6.9183,12.33,1.23,12.209,12.5411,12.8415,11
local,gmcp_r,500,64,0.0068,73227.0,6.17,2.72,5.959,6.417,8.6279,6.93,0.64,6.833,7.334,7.9174,13.09,3.3,12.792,13.708,15.7525,12
local,gmcp_r,500,64,0.0069,72215.2,6.1,1.32,5.9165,6.458,10.0021,7.15,3.66,6.833,7.25,11.9632,13.25,4.16,12.75,13.6691,27.0098,13
local,gmcp_r,500,64,0.0069,72307.02,6.19,2.16,5.958,6.5831,8.6604,7.05,1.36,6.875,7.583,11.4709,13.24,2.98,12.8335,14.1271,23.6829,14
local,gmcp_r,500,64,0.0068,73883.89,6.05,2.29,5.875,6.208,6.7092,6.91,1.65,6.792,7.0861,7.6254,12.96,3.91,12.708,13.252,14.3792,15
local,gmcp_r,500,64,0.0068,73914.83,6.01,2.16,5.875,6.084,7.8334,6.97,2.15,6.791,7.042,8.0004,12.98,3.72,12.666,13.086,16.8804,16
local,gmcp_r,500,64,0.0066,76264.56,5.81,0.18,5.792,6.042,6.3348,6.78,0.62,6.709,7.0411,7.333,12.59,0.69,12.5,13.083,13.5414,17
local,gmcp_r,500,64,0.0064,78037.62,5.68,0.08,5.667,5.833,6.0,6.62,0.07,6.625,6.75,6.833,12.3,0.12,12.291,12.541,12.75,18
local,gmcp_r,500,64,0.0069,72096.75,6.25,1.58,5.958,8.3464,10.1678,7.0,1.6,6.8335,7.3331,8.8762,13.24,2.66,12.791,15.4652,17.5067,19
local,gmcp_r,500,64,0.0066,75416.2,5.92,2.67,5.75,6.042,6.5083,6.81,2.01,6.667,6.958,7.2504,12.73,3.92,12.375,12.959,15.0234,20
local,gmcp_r,500,64,0.0066,75508.74,5.91,1.56,5.833,5.959,6.2517,6.8,1.4,6.75,6.917,7.083,12.71,2.2,12.584,12.875,13.2918,21
local,gmcp_r,500,64,0.0065,76886.11,5.78,0.25,5.75,6.125,6.5004,6.71,0.25,6.667,7.0831,7.4174,12.5,0.46,12.375,13.208,13.5834,22
local,gmcp_r,500,64,0.0065,76609.77,5.84,1.21,5.708,6.2521,6.5842,6.69,0.25,6.625,7.125,7.5004,12.53,1.4,12.333,13.417,14.041,23
local,gmcp_r,500,64,0.0066,75622.94,5.96,3.29,5.792,6.0,6.3344,6.76,0.25,6.75,6.958,7.2914,12.71,3.5,12.583,12.9611,13.417,24
local,gmcp_r,500,64,0.0068,73574.04,6.14,3.35,5.875,6.25,8.047,6.91,0.72,6.792,7.167,7.5481,13.05,4.05,12.667,13.334,15.7504,25
local,gmcp_r,500,64,0.007,71131.77,6.32,3.62,5.916,6.459,9.7396,7.13,2.87,6.833,7.3351,11.0799,13.45,5.69,12.75,13.7152,38.2382,26
local,gmcp_r,500,64,0.0065,76384.47,5.83,1.48,5.708,6.0,6.541,6.73,0.97,6.625,7.0,7.2098,12.56,2.05,12.333,12.958,13.5448,27
local,gmcp_r,500,64,0.0068,74013.77,6.06,1.69,5.792,6.541,9.9203,6.91,2.24,6.709,7.125,9.0033,12.96,3.06,12.5,13.8938,17.0162,28
local,gmcp_r,500,64,0.0069,72888.06,6.2,2.25,5.916,6.5,9.5029,6.91,0.74,6.833,7.208,8.0004,13.11,2.87,12.709,13.5913,16.7169,29
local,gmcp_r,500,64,0.0067,75162.54,5.93,0.89,5.834,6.1271,6.8762,6.86,0.33,6.792,7.083,7.9191,12.79,1.19,12.666,13.1661,14.505,30
local,gmcp_r,1000,64,0.0132,75657.75,5.85,0.84,5.792,6.083,6.4584,6.85,2.94,6.75,7.041,7.3348,12.71,3.72,12.542,13.125,13.9682,1
local,gmcp_r,1000,64,0.0134,74775.21,6.02,1.85,5.792,6.333,10.0017,6.82,1.54,6.709,7.0,7.3355,12.84,2.8,12.542,13.4232,16.917,2
local,gmcp_r,1000,64,0.0149,67162.92,6.87,18.52,5.792,6.667,19.6275,7.41,10.43,6.667,7.25,21.5016,14.28,22.26,12.458,14.4285,40.6741,3
local,gmcp_r,1000,64,0.013,76630.31,5.79,0.95,5.708,5.958,7.541,6.7,1.31,6.584,6.833,7.2098,12.49,1.82,12.292,12.7521,14.7987,4
local,gmcp_r,1000,64,0.0137,73116.34,6.21,3.36,5.792,8.208,10.6258,6.85,2.56,6.625,7.166,10.4688,13.06,4.62,12.458,15.0,22.7905,5
local,gmcp_r,1000,64,0.0134,74606.45,5.95,1.54,5.75,6.291,9.0528,6.89,2.65,6.666,7.0831,10.6689,12.84,3.31,12.416,13.5461,22.8887,6
local,gmcp_r,1000,64,0.0132,75584.6,5.87,1.15,5.708,6.042,9.5423,6.82,2.21,6.666,6.958,7.291,12.69,2.55,12.375,13.083,17.1799,7
local,gmcp_r,1000,64,0.0132,75976.77,5.93,1.79,5.709,6.417,9.5861,6.71,1.23,6.625,6.958,8.0013,12.64,2.69,12.334,13.9202,16.7512,8
local,gmcp_r,1000,64,0.0132,75760.69,5.93,1.79,5.708,6.125,9.5834,6.73,1.35,6.625,6.917,8.75,12.66,2.8,12.333,13.0861,18.3908,9
local,gmcp_r,1000,64,0.0133,75157.13,5.93,1.88,5.667,6.292,9.3771,6.79,1.56,6.625,7.042,11.2537,12.72,2.73,12.292,13.7941,25.167,10
local,gmcp_r,1000,64,0.013,76959.34,5.81,1.85,5.667,5.834,6.922,6.68,0.61,6.625,6.791,7.083,12.49,2.31,12.292,12.584,14.7163,11
local,gmcp_r,1000,64,0.0135,74309.16,6.07,2.49,5.708,8.208,9.9594,6.82,2.69,6.584,7.0441,9.5926,12.89,3.94,12.333,15.083,24.6275,12
local,gmcp_r,1000,64,0.0132,75930.86,5.93,2.91,5.667,6.042,8.3767,6.71,1.29,6.625,6.875,7.6392,12.64,3.39,12.333,12.958,21.9909,13
local,gmcp_r,1000,64,0.013,76916.18,5.76,0.86,5.666,5.917,8.583,6.73,2.17,6.625,6.792,7.0433,12.49,2.41,12.291,12.792,15.4601,14
local,gmcp_r,1000,64,0.0132,76002.52,5.86,1.5,5.708,6.125,8.7508,6.75,1.96,6.625,6.875,7.458,12.62,2.63,12.333,13.0441,16.5432,15
local,gmcp_r,1000,64,0.0132,75596.02,5.89,1.72,5.667,6.167,8.9316,6.8,2.03,6.625,6.9611,10.0008,12.69,2.97,12.292,13.208,26.5162,16
local,gmcp_r,1000,64,0.0133,75118.78,5.89,1.52,5.666,6.4327,9.291,6.86,2.57,6.625,6.9191,8.9584,12.74,3.44,12.292,14.208,19.7775,17
local,gmcp_r,1000,64,0.013,76836.88,5.8,1.41,5.709,5.958,6.042,6.71,0.22,6.667,6.958,7.083,12.51,1.49,12.416,12.916,13.0424,18
local,gmcp_r,1000,64,0.0133,75116.19,5.98,1.79,5.709,6.5851,9.8767,6.8,1.94,6.667,6.917,7.7525,12.78,2.94,12.416,13.7152,16.9607,19
local,gmcp_r,1000,64,0.0138,72548.76,6.0,1.0,5.791,6.542,9.9182,7.22,8.23,6.708,7.208,13.63,13.22,8.33,12.5,14.5861,28.5,20
local,gmcp_r,1000,64,0.0133,75068.5,5.92,0.94,5.709,6.461,9.458,6.86,3.67,6.708,7.0021,7.5424,12.78,3.85,12.417,13.734,16.416,21
local,gmcp_r,1000,64,0.0137,73192.15,6.13,3.11,5.833,6.4601,9.1312,7.0,2.73,6.75,7.209,8.8762,13.12,4.71,12.542,13.75,19.1043,22
local,gmcp_r,1000,64,0.0132,75550.1,5.87,1.17,5.75,6.125,8.3754,6.82,2.77,6.625,7.0,7.4178,12.7,3.09,12.375,13.166,15.7113,23
local,gmcp_r,1000,64,0.0131,76490.37,5.8,1.16,5.708,5.9581,6.4594,6.76,1.49,6.625,6.875,7.5545,12.56,2.09,12.333,12.794,16.7935,24
local,gmcp_r,1000,64,0.0137,73226.09,6.21,2.1,5.75,8.7521,10.4168,6.84,2.56,6.625,7.125,8.7508,13.05,3.82,12.416,15.8771,17.6296,25
local,gmcp_r,1000,64,0.0133,75131.48,6.0,3.13,5.75,6.291,8.2113,6.78,1.45,6.625,6.9611,8.7575,12.78,3.76,12.416,13.3382,16.8351,26
