session_id,protocol,loss_rate,delay_ms,reorder_rate,message_count,payload_size,repeat_id,base_seed,run_seed,loss_schedule_hash,logical_message_count,transmission_attempt_count,actual_packets_sent,accepted_logical_messages,unrecovered_logical_messages,simulated_drop_count,server_rejected_attempt_count,socket_timeout_count,retry_count_total,success_rate,throughput_msg_per_sec,configured_delay_ms,injected_delay_total_ms,retry_wait_total_ms,socket_rtt_mean_ms,socket_rtt_std_ms,application_latency_mean_ms,rtt_mean_ms,rtt_std_ms,rtt_min_ms,rtt_max_ms,rtt_median_ms,client_final_seq,server_final_seq,state_match,client_final_mem,server_final_mem,memory_match,client_final_hash,server_final_hash,hash_match,sequence_match,elapsed_seconds
weaknet-gmcp_r-l0-d0-r1-15f2ce95721fffbc,gmcp_r,0,0,0,200,128,1,20260711,15f2ce95721fffbc,78246f3b1d07021b,200,200,200,200,0,0,0,0,0,100.0,8137.96,0.0,0,0,0.09,0.06,0.11,0.09,0.06,0.04,0.66,0.09,200,200,True,e9ca0532ca97f8ecadf14dc9afaa8268,e9ca0532ca97f8ecadf14dc9afaa8268,True,,,,,0.0246
weaknet-gmcp_r-l0-d0-r2-4fdf51a991803b36,gmcp_r,0,0,0,200,128,2,20260711,4fdf51a991803b36,78246f3b1d07021b,200,200,200,200,0,0,0,0,0,100.0,10289.74,0.0,0,0,0.07,0.02,0.08,0.07,0.02,0.05,0.18,0.06,200,200,True,2a3cd710dc6de7e1a1a12cfba66dee95,2a3cd710dc6de7e1a1a12cfba66dee95,True,,,,,0.0194
weaknet-gmcp_r-l0-d20-r1-05820232175fc781,gmcp_r,0,20,0,200,128,1,20260711,05820232175fc781,78246f3b1d07021b,200,200,200,200,0,0,0,0,0,100.0,41.69,20.35,4069.66,0,0.34,0.07,23.95,0.34,0.07,0.2,0.8,0.32,200,200,True,a7c13d29804f50cfe903106ef620c6e8,a7c13d29804f50cfe903106ef620c6e8,True,,,,,4.7975
weaknet-gmcp_r-l0-d20-r2-966c392fb7ee6d15,gmcp_r,0,20,0,200,128,2,20260711,966c392fb7ee6d15,78246f3b1d07021b,200,200,200,200,0,0,0,0,0,100.0,41.61,20.18,4036.1,0,0.38,0.49,24.0,0.38,0.49,0.24,7.09,0.32,200,200,True,b28f34b205b1b1ef309cc42dcb657e71,b28f34b205b1b1ef309cc42dcb657e71,True,,,,,4.8069
weaknet-gmcp_r-l0-d50-r1-f3ff8d74515dc27c,gmcp_r,0,50,0,200,128,1,20260711,f3ff8d74515dc27c,78246f3b1d07021b,200,200,200,200,0,0,0,0,0,100.0,18.44,50.26,10052.03,0,0.36,0.1,54.19,0.36,0.1,0.23,1.01,0.34,200,200,True,936356173c010ec670932f054334aad5,936356173c010ec670932f054334aad5,True,,,,,10.8454
weaknet-gmcp_r-l0-d50-r2-2c2f0160173af1ef,gmcp_r,0,50,0,200,128,2,20260711,2c2f0160173af1ef,78246f3b1d07021b,200,200,200,200,0,0,0,0,0,100.0,18.48,50.13,10026.04,0,0.37,0.13,54.07,0.37,0.13,0.23,1.6,0.34,200,200,True,0fad7bc2e506246cfa869271cfa2d20a,0fad7bc2e506246cfa869271cfa2d20a,True,,,,,10.8218
weaknet-gmcp_r-l0-d100-r1-09bcdc7c502b2b2c,gmcp_r,0,100,0,200,128,1,20260711,09bcdc7c502b2b2c,78246f3b1d07021b,200,200,200,200,0,0,0,0,0,100.0,9.6,100.16,20031.67,0,0.36,0.08,104.14,0.36,0.08,0.24,0.85,0.33,200,200,True,76834440d6dfe84f5d35cc4ec6f38685,76834440d6dfe84f5d35cc4ec6f38685,True,,,,,20.835
weaknet-gmcp_r-l0-d100-r2-f669dae1abbbafc7,gmcp_r,0,100,0,200,128,2,20260711,f669dae1abbbafc7,78246f3b1d07021b,200,200,200,200,0,0,0,0,0,100.0,9.58,100.6,20120.1,0,0.36,0.09,104.37,0.36,0.09,0.22,1.09,0.34,200,200,True,c5f38f1f8093372aab618286374eabe8,c5f38f1f8093372aab618286374eabe8,True,,,,,20.8809
weaknet-gmcp_r-l0-d200-r1-d5c360f60864d5e9,gmcp_r,0,200,0,200,128,1,20260711,d5c360f60864d5e9,78246f3b1d07021b,200,200,200,200,0,0,0,0,0,100.0,4.92,199.27,39853.77,0,0.38,0.11,203.17,0.38,0.11,0.26,1.1,0.35,200,200,True,61960e6f3de835503965977005eac7c6,61960e6f3de835503965977005eac7c6,True,,,,,40.6413
weaknet-gmcp_r-l0-d200-r2-1da2d8f57382b5d4,gmcp_r,0,200,0,200,128,2,20260711,1da2d8f57382b5d4,78246f3b1d07021b,200,200,200,200,0,0,0,0,0,100.0,4.85,202.16,40432.27,0,0.38,0.12,206.19,0.38,0.12,0.24,1.49,0.35,200,200,True,3df274671a8ce420ef1d4af5b0f7be46,3df274671a8ce420ef1d4af5b0f7be46,True,,,,,41.2463
