session_id,attack_type,message_count,payload_size,checkpoint_interval,repeat_id,sent_count,accepted_count,rejected_count,timeout_count,attack_detected,detection_reason,recovery_requested,recovery_success,recovery_reason,memory_match_after_recovery,reconstruction_match,recovery_latency_ms,checkpoint_count,checkpoint_interval_used,checkpoint_seq,checkpoint_mem,target_seq,target_mem,replay_count,reconstructed_mem,checkpoint_storage_bytes,ticket_verified,ticket_reason,elapsed_seconds,final_server_last_seq
checkpoint-disconnect-m500-k50-r1-1783186930558395,disconnect,500,128,50,1,500,500,0,0,True,client simulated disconnect,True,True,ok,True,True,0.301,10,50,100,5ff57815c1c0353f9c091e18c18351de9b55737d00db077f87a97c4c4049f707,149,99769659f55efbe4d27fc7e9c3dfba152c5f1741d9e639445c7828661d85ed43,49,99769659f55efbe4d27fc7e9c3dfba152c5f1741d9e639445c7828661d85ed43,2972,True,ok,0.098,500
checkpoint-disconnect-m500-k50-r2-1783186930656396,disconnect,500,128,50,2,500,500,0,0,True,client simulated disconnect,True,True,ok,True,True,0.259,10,50,100,b2b1159417a7a5da94edb8d101601d6782cf54daa4d53c2595297b56b16cd8ac,149,fd7c7efb5a8d5252aba6ac8556bd823a6080409466c9d1e796193736af19d497,49,fd7c7efb5a8d5252aba6ac8556bd823a6080409466c9d1e796193736af19d497,2971,True,ok,0.048,500
checkpoint-disconnect-m500-k50-r3-1783186930704632,disconnect,500,128,50,3,500,500,0,0,True,client simulated disconnect,True,True,ok,True,True,0.274,10,50,100,8a73f0e51a3e2db1b9ba967cca2788320839f64d149b0f3b550e192797b94680,149,f99851ee79876bd6491ea3cfc475e6e5621d7f666f00b820fa0aec28cdb1b4ca,49,f99851ee79876bd6491ea3cfc475e6e5621d7f666f00b820fa0aec28cdb1b4ca,2971,True,ok,0.045,500
checkpoint-disconnect-m500-k50-r4-1783186930749909,disconnect,500,128,50,4,500,500,0,0,True,client simulated disconnect,True,True,ok,True,True,0.272,10,50,100,da3b93358c05f3560f8743d996c0172f4ccac3311eebae13bebd50f2d5669656,149,3bdeaa8df737b47dd8c8571a5ae889cf00fd0919282d3a171593c3a411465ccf,49,3bdeaa8df737b47dd8c8571a5ae889cf00fd0919282d3a171593c3a411465ccf,2972,True,ok,0.048,500
checkpoint-disconnect-m500-k50-r5-1783186930797854,disconnect,500,128,50,5,500,500,0,0,True,client simulated disconnect,True,True,ok,True,True,0.294,10,50,100,bb2ce1c73de51dbd5816d753fd0750ee5fd8cad7b4739f02181cc3fe1315714b,149,620e177a0fed90348c1ad045222971c64a7653fbf3f15e6cc4a1e1a7e826b924,49,620e177a0fed90348c1ad045222971c64a7653fbf3f15e6cc4a1e1a7e826b924,2969,True,ok,0.046,500
checkpoint-disconnect-m500-k50-r6-1783186930844233,disconnect,500,128,50,6,500,500,0,0,True,client simulated disconnect,True,True,ok,True,True,0.494,10,50,100,460fac46ef2d4690e2e0fc777bfe3b0b94b595e4dbcd29f56561d6bb0b1b2bc8,149,d12bc0e27f472ded94ea8258bad02801a9d1a7b62b4e3a74498f70a1816410c7,49,d12bc0e27f472ded94ea8258bad02801a9d1a7b62b4e3a74498f70a1816410c7,2969,True,ok,0.046,500
checkpoint-disconnect-m500-k50-r7-1783186930890661,disconnect,500,128,50,7,500,500,0,0,True,client simulated disconnect,True,True,ok,True,True,0.23,10,50,100,a9572c3b258dc3917070f2d3800835b8b722b7e28f57415cfa72e9c7e2162042,149,759f46d84c7580a59550b63946123deb932539084d774d2a0dbdba1bd17a0ecb,49,759f46d84c7580a59550b63946123deb932539084d774d2a0dbdba1bd17a0ecb,2970,True,ok,0.046,500
checkpoint-disconnect-m500-k50-r8-1783186930937013,disconnect,500,128,50,8,500,500,0,0,True,client simulated disconnect,True,True,ok,True,True,0.561,10,50,100,66ace6e70c92a7e08f5c35318a8ce0cf713d9054948c6d8b356266551fe13510,149,d00f0fbf60b5c2074315b703e7cfc9e1bc91720a8465c46fae70a72bd58eef28,49,d00f0fbf60b5c2074315b703e7cfc9e1bc91720a8465c46fae70a72bd58eef28,2970,True,ok,0.046,500
checkpoint-disconnect-m500-k50-r9-1783186930983121,disconnect,500,128,50,9,500,500,0,0,True,client simulated disconnect,True,True,ok,True,True,0.231,10,50,100,1591deda729f34201b8bf3f448b41e1e2e3122ab0d8ed735927156107b6ba4d5,149,a5d4891e1e61593576b756e692c583035831cff64f6c37431ce8e49a92c4f5c0,49,a5d4891e1e61593576b756e692c583035831cff64f6c37431ce8e49a92c4f5c0,2973,True,ok,0.045,500
checkpoint-disconnect-m500-k50-r10-1783186931028681,disconnect,500,128,50,10,500,500,0,0,True,client simulated disconnect,True,True,ok,True,True,0.357,10,50,100,96897587fc972580ec735b8851c81de1b00baf779d68bc6d1a31de6385d85aac,149,6365c1b2f495ee2318a83fd8aabfb1dedba060dc7633134fbdb44c09ba93e67b,49,6365c1b2f495ee2318a83fd8aabfb1dedba060dc7633134fbdb44c09ba93e67b,2982,True,ok,0.045,500
checkpoint-disconnect-m500-k100-r1-1783186931073552,disconnect,500,128,100,1,500,500,0,0,True,client simulated disconnect,True,True,ok,True,True,0.273,5,100,100,114cc55b542380a57c467f86da80faf2814d234f15e939975d091a4c923c8ce5,149,55a7a831a66093d605e33b39a29b594d170ee8112fd570faff8c38725b769aef,49,55a7a831a66093d605e33b39a29b594d170ee8112fd570faff8c38725b769aef,1491,True,ok,0.045,500
checkpoint-disconnect-m500-k100-r2-1783186931118629,disconnect,500,128,100,2,500,500,0,0,True,client simulated disconnect,True,True,ok,True,True,0.273,5,100,100,e7391f9b7feef6ad21049dbd68bd46c48e8f84f4c89c9802153a65b428f8c0d2,149,ac7594cf25fd8bff6482177c0be58734abe00bd4771f40ba604450fa39480757,49,ac7594cf25fd8bff6482177c0be58734abe00bd4771f40ba604450fa39480757,1489,True,ok,0.045,500
checkpoint-disconnect-m500-k100-r3-1783186931163341,disconnect,500,128,100,3,500,500,0,0,True,client simulated disconnect,True,True,ok,True,True,0.367,5,100,100,f86a98b3912fbb00b2dfd2a25a1a528e4a207d159baa6f331e04442deec47556,149,61a7b298ba0fa4aaad6128bf3d9b3387b3ed6841257cc46e7b15def8d24c4d07,49,61a7b298ba0fa4aaad6128bf3d9b3387b3ed6841257cc46e7b15def8d24c4d07,1489,True,ok,0.044,500
checkpoint-disconnect-m500-k100-r4-1783186931207288,disconnect,500,128,100,4,500,500,0,0,True,client simulated disconnect,True,True,ok,True,True,0.335,5,100,100,85ef608dd29c5a3b39eaf7e622d28d3d9bee8a59876a794d7df3bacacb1e293f,149,b1992feef008b6af95007891e38dd04282a18400c55b79e562e9f0580926a3c6,49,b1992feef008b6af95007891e38dd04282a18400c55b79e562e9f0580926a3c6,1490,True,ok,0.046,500
checkpoint-disconnect-m500-k100-r5-1783186931253762,disconnect,500,128,100,5,500,500,0,0,True,client simulated disconnect,True,True,ok,True,True,0.329,5,100,100,1b756864adacb69dce2ac97f518a4147a70a90be4c26957ac9a6d8143fd6925b,149,7ee2557760e05eead218e3f7abe3fd7d3d0823cfac96533d9c81887948f0d095,49,7ee2557760e05eead218e3f7abe3fd7d3d0823cfac96533d9c81887948f0d095,1492,True,ok,0.045,500
