scenario,checkpoint_interval,payload_size,repeat_id,ticket_seq,client_seq,server_seq,recovery_floor,ticket_last_seq,server_last_seq_before,server_last_seq_after,server_last_mem_before,server_last_mem_after,request_auth_ok,response_auth_ok,response_verify_reason,nonce_match,nonce_consumed,race_winner_count,state_unchanged,success,reason,recovery_latency_ms
control,50,128,1,100,100,100,100,100,100,100,0389c370bcc9c5deadb0b72d749d42121a4d1646ebf27c860f82b88a5652e990,0389c370bcc9c5deadb0b72d749d42121a4d1646ebf27c860f82b88a5652e990,True,True,ok,True,True,0,True,True,ok,0.345
ack_loss,50,128,1,100,100,149,100,100,149,149,4ed77b5d09076ce0c2e2972ffdd2e71b01a0e5f84d0aabf9d9e741293b1ecc08,4ed77b5d09076ce0c2e2972ffdd2e71b01a0e5f84d0aabf9d9e741293b1ecc08,True,True,ok,True,True,0,True,True,ok,0.21
old_ticket_within_window,50,128,1,100,100,149,100,100,149,149,0f2bf57aa7025883e20eb5d330f6d0287128b8a3d05efb2736297a2e4e812191,0f2bf57aa7025883e20eb5d330f6d0287128b8a3d05efb2736297a2e4e812191,True,True,ok,True,True,0,True,True,ok,0.205
below_floor,50,128,1,100,100,200,200,100,200,200,2eca86d7eb02f3f25c77191914467426922065f41d1c42a0e97e2df11b1947d8,2eca86d7eb02f3f25c77191914467426922065f41d1c42a0e97e2df11b1947d8,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.178
control,50,128,2,100,100,100,100,100,100,100,861b5f1b98d9f197011bd0abe7e19fe27560e224815d1fba0dd510dceac722f7,861b5f1b98d9f197011bd0abe7e19fe27560e224815d1fba0dd510dceac722f7,True,True,ok,True,True,0,True,True,ok,0.186
ack_loss,50,128,2,100,100,149,100,100,149,149,e9c948cb21d3fd320ca5fe3aac6a37447fa33e4d06d8ea18d6c049b7e180a170,e9c948cb21d3fd320ca5fe3aac6a37447fa33e4d06d8ea18d6c049b7e180a170,True,True,ok,True,True,0,True,True,ok,0.185
old_ticket_within_window,50,128,2,100,100,149,100,100,149,149,d50fd58eddc4ecbdb23f5c2e9ac6d262779bd04b16bded45cbe01fff9e25e6d3,d50fd58eddc4ecbdb23f5c2e9ac6d262779bd04b16bded45cbe01fff9e25e6d3,True,True,ok,True,True,0,True,True,ok,0.202
below_floor,50,128,2,100,100,200,200,100,200,200,0db39ee461c0085f39dcb1c4c110040f1e458d3ba6cefc9ab4dbd38bce252a37,0db39ee461c0085f39dcb1c4c110040f1e458d3ba6cefc9ab4dbd38bce252a37,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.194
control,50,128,3,100,100,100,100,100,100,100,6386e38340701dccf1b1279396b4c0304ffabd9699e438550450b17b79ddbf04,6386e38340701dccf1b1279396b4c0304ffabd9699e438550450b17b79ddbf04,True,True,ok,True,True,0,True,True,ok,0.188
ack_loss,50,128,3,100,100,149,100,100,149,149,f78b3fcf2966572e05c59fefb43fd295359156cc2b4d649ccbe699e634b65b74,f78b3fcf2966572e05c59fefb43fd295359156cc2b4d649ccbe699e634b65b74,True,True,ok,True,True,0,True,True,ok,0.18
old_ticket_within_window,50,128,3,100,100,149,100,100,149,149,3d70c637fbbd3fabb25e42247b207d802ef70eee93aabb45a3249cad188352fc,3d70c637fbbd3fabb25e42247b207d802ef70eee93aabb45a3249cad188352fc,True,True,ok,True,True,0,True,True,ok,0.199
below_floor,50,128,3,100,100,200,200,100,200,200,7146c8b745065abe972c34360e7a0ab273afa6b1ff4ee5ece931ff72d8e53cdc,7146c8b745065abe972c34360e7a0ab273afa6b1ff4ee5ece931ff72d8e53cdc,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.144
control,50,128,4,100,100,100,100,100,100,100,6a3a004efdae66a6333e21ae069f5291f47a3ad20633df033a66d9bdec12dde1,6a3a004efdae66a6333e21ae069f5291f47a3ad20633df033a66d9bdec12dde1,True,True,ok,True,True,0,True,True,ok,0.169
ack_loss,50,128,4,100,100,149,100,100,149,149,484f7be9f1d977f56406437cc6c8a94e3f2844f52830f078d31e614d3293e7f8,484f7be9f1d977f56406437cc6c8a94e3f2844f52830f078d31e614d3293e7f8,True,True,ok,True,True,0,True,True,ok,0.18
old_ticket_within_window,50,128,4,100,100,149,100,100,149,149,7a4538862367e9ba62c129523023075cd5e202e868633f6a424e720e851629a8,7a4538862367e9ba62c129523023075cd5e202e868633f6a424e720e851629a8,True,True,ok,True,True,0,True,True,ok,0.173
below_floor,50,128,4,100,100,200,200,100,200,200,4ac84f26a5acb8910936e52d0d0ee51597700ce30166e75a002a3557e1538a43,4ac84f26a5acb8910936e52d0d0ee51597700ce30166e75a002a3557e1538a43,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.166
control,50,128,5,100,100,100,100,100,100,100,cabacce573b9bf2f02f62d1bd537f1167adc0e30d289a01457297031eb258a44,cabacce573b9bf2f02f62d1bd537f1167adc0e30d289a01457297031eb258a44,True,True,ok,True,True,0,True,True,ok,0.177
ack_loss,50,128,5,100,100,149,100,100,149,149,a5a3efef2a52418ec86e127a219a324df6ca22511ee96d6cc8fbb586317b5949,a5a3efef2a52418ec86e127a219a324df6ca22511ee96d6cc8fbb586317b5949,True,True,ok,True,True,0,True,True,ok,0.196
old_ticket_within_window,50,128,5,100,100,149,100,100,149,149,45cd3d1134306b61f9eb13b6e910217c4416f0d932233727c80d82aa3a11984d,45cd3d1134306b61f9eb13b6e910217c4416f0d932233727c80d82aa3a11984d,True,True,ok,True,True,0,True,True,ok,0.167
below_floor,50,128,5,100,100,200,200,100,200,200,5307154964a5c2dabe9689ee663b996c2fbb13680e1eab32cb0e7aee5c2c33bd,5307154964a5c2dabe9689ee663b996c2fbb13680e1eab32cb0e7aee5c2c33bd,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.146
control,50,128,6,100,100,100,100,100,100,100,18f8f4e11d653c34e4894604cc60cda515caa72d29772442a2bd63297e2fd611,18f8f4e11d653c34e4894604cc60cda515caa72d29772442a2bd63297e2fd611,True,True,ok,True,True,0,True,True,ok,0.178
ack_loss,50,128,6,100,100,149,100,100,149,149,725503112457495faed21fc5201459f3e945194641d62d53ccbe19e159f9d927,725503112457495faed21fc5201459f3e945194641d62d53ccbe19e159f9d927,True,True,ok,True,True,0,True,True,ok,0.183
old_ticket_within_window,50,128,6,100,100,149,100,100,149,149,d8aaf5ddc981e8e7321d2272f7e6dec075efa380c134b4459d6a7cc12df4ab5c,d8aaf5ddc981e8e7321d2272f7e6dec075efa380c134b4459d6a7cc12df4ab5c,True,True,ok,True,True,0,True,True,ok,0.223
below_floor,50,128,6,100,100,200,200,100,200,200,75d646ce04d38a5d9ce8845516ffdf07970ee20d5c97b7608530f67451aa10c8,75d646ce04d38a5d9ce8845516ffdf07970ee20d5c97b7608530f67451aa10c8,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.277
control,50,128,7,100,100,100,100,100,100,100,22e8733c85e5628dda6925f9040512c541cc0c130ce1ae02ddc13be2b231bd30,22e8733c85e5628dda6925f9040512c541cc0c130ce1ae02ddc13be2b231bd30,True,True,ok,True,True,0,True,True,ok,0.268
ack_loss,50,128,7,100,100,149,100,100,149,149,dfead7afdb5067dcaefa73de0605b9c25ea2dbf00097e6b7966176526103123a,dfead7afdb5067dcaefa73de0605b9c25ea2dbf00097e6b7966176526103123a,True,True,ok,True,True,0,True,True,ok,0.245
old_ticket_within_window,50,128,7,100,100,149,100,100,149,149,5a38f671c5797819f2c99741ad71c9a60d4f53d6f1c1d67450119417de387e71,5a38f671c5797819f2c99741ad71c9a60d4f53d6f1c1d67450119417de387e71,True,True,ok,True,True,0,True,True,ok,0.191
below_floor,50,128,7,100,100,200,200,100,200,200,ab998f107ba50bb9c5cfeea7f73b08cf96aa5f72857a5cf4ed43c5b934b04460,ab998f107ba50bb9c5cfeea7f73b08cf96aa5f72857a5cf4ed43c5b934b04460,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.2
control,50,128,8,100,100,100,100,100,100,100,2006654850a8eb26f915fd1ba76c26c8fb756bd8ae833b6fab0a57ea95b572bb,2006654850a8eb26f915fd1ba76c26c8fb756bd8ae833b6fab0a57ea95b572bb,True,True,ok,True,True,0,True,True,ok,0.217
ack_loss,50,128,8,100,100,149,100,100,149,149,437521aa3100b0e3b0d22fd9ed025607cb84427d53579a514c0550b7d8d2812f,437521aa3100b0e3b0d22fd9ed025607cb84427d53579a514c0550b7d8d2812f,True,True,ok,True,True,0,True,True,ok,0.195
old_ticket_within_window,50,128,8,100,100,149,100,100,149,149,1ffc43d70767934157d1b2286687eb09c08fbe96fac35fa1249bf265ae26ecc2,1ffc43d70767934157d1b2286687eb09c08fbe96fac35fa1249bf265ae26ecc2,True,True,ok,True,True,0,True,True,ok,0.173
below_floor,50,128,8,100,100,200,200,100,200,200,20c86177921fa4c392516bef4f1de537764aa353b1f1b251669069c5c0b46b79,20c86177921fa4c392516bef4f1de537764aa353b1f1b251669069c5c0b46b79,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.161
control,50,128,9,100,100,100,100,100,100,100,09d38146ff9d7bdb5de5f03f37e73aca8b8e6c4c4e63e6edba17a37f21da4ca2,09d38146ff9d7bdb5de5f03f37e73aca8b8e6c4c4e63e6edba17a37f21da4ca2,True,True,ok,True,True,0,True,True,ok,0.203
ack_loss,50,128,9,100,100,149,100,100,149,149,dadb8d9e33b9518c29c48bc517ccc0edf63ce59acda116f3b54207c8d460aa71,dadb8d9e33b9518c29c48bc517ccc0edf63ce59acda116f3b54207c8d460aa71,True,True,ok,True,True,0,True,True,ok,0.624
old_ticket_within_window,50,128,9,100,100,149,100,100,149,149,ba945c0937962120f7be2d69bd9f0ebce25d03be22ff71d8d64d6ee64d6ae705,ba945c0937962120f7be2d69bd9f0ebce25d03be22ff71d8d64d6ee64d6ae705,True,True,ok,True,True,0,True,True,ok,0.311
below_floor,50,128,9,100,100,200,200,100,200,200,db6fd5e02c465071c10324416cebd7f33da2ab1e27aed4d2757a8273aa7217a5,db6fd5e02c465071c10324416cebd7f33da2ab1e27aed4d2757a8273aa7217a5,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.236
control,50,128,10,100,100,100,100,100,100,100,8fda1df367367d4319e59cc05065053a690764fb96d37345fcebc7cc93dd8111,8fda1df367367d4319e59cc05065053a690764fb96d37345fcebc7cc93dd8111,True,True,ok,True,True,0,True,True,ok,0.287
ack_loss,50,128,10,100,100,149,100,100,149,149,49c3bc8da7ee8961454ec42abed6d828cead9639695ae0c615267fcfda386caf,49c3bc8da7ee8961454ec42abed6d828cead9639695ae0c615267fcfda386caf,True,True,ok,True,True,0,True,True,ok,0.197
old_ticket_within_window,50,128,10,100,100,149,100,100,149,149,78479779ec68a41581069fbfedd3d943f21e73e510eba2bf4109996a53b1ad2e,78479779ec68a41581069fbfedd3d943f21e73e510eba2bf4109996a53b1ad2e,True,True,ok,True,True,0,True,True,ok,0.238
below_floor,50,128,10,100,100,200,200,100,200,200,d0e601ce83ea1b8363059a87e6678a1e7fcdfa9eef82e39ca25036149999305c,d0e601ce83ea1b8363059a87e6678a1e7fcdfa9eef82e39ca25036149999305c,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.22
control,50,128,11,100,100,100,100,100,100,100,5f39d39e7f46b2d62210a472cbb59374cdb42a74f4266b5037683d05f28d2004,5f39d39e7f46b2d62210a472cbb59374cdb42a74f4266b5037683d05f28d2004,True,True,ok,True,True,0,True,True,ok,0.217
ack_loss,50,128,11,100,100,149,100,100,149,149,44cd0d1064217a932332b08bc9409761e43c5a51f7295b03ecc167402e9ca901,44cd0d1064217a932332b08bc9409761e43c5a51f7295b03ecc167402e9ca901,True,True,ok,True,True,0,True,True,ok,0.229
old_ticket_within_window,50,128,11,100,100,149,100,100,149,149,f5ddb19beea496985a7534eb821d6fc890df527a06c4b3c3a2b673e56e80e298,f5ddb19beea496985a7534eb821d6fc890df527a06c4b3c3a2b673e56e80e298,True,True,ok,True,True,0,True,True,ok,0.197
below_floor,50,128,11,100,100,200,200,100,200,200,d8a126fb2c2306d21bcb01b28b8419094e1fc137e7361a52a98b11992c8c71b2,d8a126fb2c2306d21bcb01b28b8419094e1fc137e7361a52a98b11992c8c71b2,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.145
control,50,128,12,100,100,100,100,100,100,100,d8ad0df6d970fc5b67643b7f725e4d74915cded5739da4919159874a4e1731f0,d8ad0df6d970fc5b67643b7f725e4d74915cded5739da4919159874a4e1731f0,True,True,ok,True,True,0,True,True,ok,0.179
ack_loss,50,128,12,100,100,149,100,100,149,149,1ca408c25d394d0bdb72543d63fa3df475909554c20f9ea55fc585971f7d40f7,1ca408c25d394d0bdb72543d63fa3df475909554c20f9ea55fc585971f7d40f7,True,True,ok,True,True,0,True,True,ok,0.259
old_ticket_within_window,50,128,12,100,100,149,100,100,149,149,2fa86595cad0ad48847df184a057dbe88f7a8470d6938946df955ccd7f3c7824,2fa86595cad0ad48847df184a057dbe88f7a8470d6938946df955ccd7f3c7824,True,True,ok,True,True,0,True,True,ok,0.209
