protocol,n,k,offset,repeat_id,replay_count,recovery_material_bytes,logical_bytes_read,auth_records_verified,recovery_time_ns,recovery_time_us,recovery_time_ms,target_seq,reconstructed_mem,reconstructed_hash,target_state_match,checkpoint_auth_ok,record_auth_ok,chain_continuity_ok,payload_hash_ok,stored_mem_ok,recovery_valid,failure_reason,records_scanned,records_replayed,physical_bytes_read,logical_bytes_replayed,seek_offset,git_commit
gmcp_r,1000,10,1,1,1,710,710,2,177667,177.667,0.177667,991,34db035aff0d732d59f18e0f525916f83e1986e388792ea34752d1338acad091,,True,True,True,True,True,True,True,,1,1,428,428,423504,f3b7fe9
authenticated_hash_chain,1000,10,1,1,991,513353,513353,991,9407416,9407.416,9.407416,991,,bfb00d1a7bf8b6a797245237cb83b4196ccc36b03efd82a5280050f7e347bc4d,True,True,True,True,True,True,True,,991,991,513353,513353,0,f3b7fe9
gmcp_r,1000,10,5,1,5,2422,2422,6,247750,247.75,0.24775,995,b6883a4f0b827ad50bc8f7f607f2fe44a11cdefe10bc72a0523c2283768351ce,,True,True,True,True,True,True,True,,5,5,2140,2140,423504,f3b7fe9
authenticated_hash_chain,1000,10,5,1,995,515425,515425,995,9324250,9324.25,9.32425,995,,54d392cc16481cdecae19e63dd468b1146294970ad8e8e13ad478e0253d065f7,True,True,True,True,True,True,True,,995,995,515425,515425,0,f3b7fe9
gmcp_r,1000,10,9,1,9,4134,4134,10,302792,302.792,0.302792,999,a49b8dec4df21eb21ceecc6ccebbbaa81af80d550a27cc540b40d1082ffee28e,,True,True,True,True,True,True,True,,9,9,3852,3852,423504,f3b7fe9
authenticated_hash_chain,1000,10,9,1,999,517498,517498,999,10121042,10121.042,10.121042,999,,a6c8d7f92883980eed1364050d0a2f6a94dae202336c8b6e6a43c95568cab4b8,True,True,True,True,True,True,True,,999,999,517498,517498,0,f3b7fe9
gmcp_r,1000,10,1,2,1,710,710,2,190125,190.125,0.190125,991,ae5dc9875c04b0754d32a31990c4a83417ab2e4186d5f03559bc609ffe774b01,,True,True,True,True,True,True,True,,1,1,428,428,423504,f3b7fe9
authenticated_hash_chain,1000,10,1,2,991,513313,513313,991,9513792,9513.792,9.513792,991,,b154a3691910224305f980d059ec56a3255a780aaaaf79c683cbf3ff0198851b,True,True,True,True,True,True,True,,991,991,513313,513313,0,f3b7fe9
gmcp_r,1000,10,5,2,5,2422,2422,6,283334,283.334,0.283334,995,b9f4778e26624b2eca3a18879b8ad48019f4f84921237df36294d81bdc2912a3,,True,True,True,True,True,True,True,,5,5,2140,2140,423504,f3b7fe9
authenticated_hash_chain,1000,10,5,2,995,515385,515385,995,10524417,10524.417,10.524417,995,,19f4c6305adc3e424490bff447ed5a280635c3cffcce78d44f672da0e37002f9,True,True,True,True,True,True,True,,995,995,515385,515385,0,f3b7fe9
gmcp_r,1000,10,9,2,9,4134,4134,10,281208,281.208,0.281208,999,0babca7ee40070afc8377f235d4f2aef2b1af594f7f28c673ce77cef86833a94,,True,True,True,True,True,True,True,,9,9,3852,3852,423504,f3b7fe9
authenticated_hash_chain,1000,10,9,2,999,517458,517458,999,10468208,10468.208,10.468208,999,,babf2726cb5d2cf88390c022c45d87a63e19be37ada576268405e097772db2ea,True,True,True,True,True,True,True,,999,999,517458,517458,0,f3b7fe9
gmcp_r,1000,10,1,3,1,710,710,2,329792,329.792,0.329792,991,f21e799076f866e33401864ccbd4ab68b85a895b35161fb6e3881946728849e9,,True,True,True,True,True,True,True,,1,1,428,428,423504,f3b7fe9
authenticated_hash_chain,1000,10,1,3,991,513301,513301,991,9445791,9445.791,9.445791,991,,84b3cd6354f604b0bec2293b773b87e5fff7d59ff93279b6b8a6b81d48fdbd6d,True,True,True,True,True,True,True,,991,991,513301,513301,0,f3b7fe9
gmcp_r,1000,10,5,3,5,2422,2422,6,228042,228.042,0.228042,995,fb4ecbc665d6ff4a919f015645263f84bc388ff1709a643a036881c370f7ae62,,True,True,True,True,True,True,True,,5,5,2140,2140,423504,f3b7fe9
authenticated_hash_chain,1000,10,5,3,995,515376,515376,995,10105541,10105.541,10.105541,995,,da0582c75c5fba9ecc2d2aaa3dfbca162ca0acf5ff19925b945491f0d9b8d9a6,True,True,True,True,True,True,True,,995,995,515376,515376,0,f3b7fe9
gmcp_r,1000,10,9,3,9,4134,4134,10,303292,303.292,0.303292,999,3773eb655cb6d6c4dcab70743dc6cb517933d7f2658db9f5bb17ef319c107b18,,True,True,True,True,True,True,True,,9,9,3852,3852,423504,f3b7fe9
authenticated_hash_chain,1000,10,9,3,999,517448,517448,999,10289083,10289.083,10.289083,999,,4b74f892902258e6c01052247522bd5c15787f09b989db68396c6ace435f7b26,True,True,True,True,True,True,True,,999,999,517448,517448,0,f3b7fe9
