protocol,scenario,server_host,server_port,session_id,attack_type,message_count,payload_size,repeat_id,attack_seq,sent_count,accepted_count,rejected_count,timeout_count,attack_detected,recovery_requested,recovery_success,full_recovery_success,pre_recovery_accepted,post_recovery_accepted,recovery_point_seq,recovery_latency_ms,recovery_extra_messages,recovery_extra_bytes,elapsed_ms,throughput_msg_per_s,final_client_mem,final_server_mem,final_client_mem_short,final_server_mem_short,memory_match_after_recovery,server_last_seq,final_seq_consistent,ticket_verified,ticket_nonce,ticket_expired,ticket_replay_detected,detection_reason,recovery_reason,recovery_mode
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-drop-m100-p128-r1-1781494051536334,drop,100,128,1,50,101,100,1,0,True,True,True,True,49,51,49,168.201,2,1372,18517.4582,5.4,6f792a2e8b498a549cb36dd82810e464155168533cdb3abdc6c3d6fb60d9d555,6f792a2e8b498a549cb36dd82810e464155168533cdb3abdc6c3d6fb60d9d555,6f792a2e8b498a54,6f792a2e8b498a54,True,100,True,True,d79dfde370c146c27f90b96a61a99491,False,False,"seq gap detected: expected 50, got 51",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-drop-m100-p128-r2-1781494070054795,drop,100,128,2,50,101,100,1,0,True,True,True,True,49,51,49,155.5841,2,1373,16600.513,6.02,3010dea7076361198b5954df32531c97f17b41812a5e575bb99e1c5f737b2aab,3010dea7076361198b5954df32531c97f17b41812a5e575bb99e1c5f737b2aab,3010dea707636119,3010dea707636119,True,100,True,True,3b2a07113d950e740a6f049a5c936476,False,False,"seq gap detected: expected 50, got 51",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-drop-m100-p128-r3-1781494086655660,drop,100,128,3,50,101,100,1,0,True,True,True,True,49,51,49,148.6311,2,1372,17399.1008,5.75,992083876d76ede6ff3e7a3faad2dcc08ed3de9aa39c7ccd7d9b33d717d1710c,992083876d76ede6ff3e7a3faad2dcc08ed3de9aa39c7ccd7d9b33d717d1710c,992083876d76ede6,992083876d76ede6,True,100,True,True,6dafef7b5a675bf3a42e96fa00f77443,False,False,"seq gap detected: expected 50, got 51",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-drop-m100-p512-r1-1781494104054899,drop,100,512,1,50,101,100,1,0,True,True,True,True,49,51,49,441.186,2,1371,16817.2863,5.95,0b33a7ee8a01bd8f7bf6da09d1cd6005fa3e05f2f368a602f488853e832a39a2,0b33a7ee8a01bd8f7bf6da09d1cd6005fa3e05f2f368a602f488853e832a39a2,0b33a7ee8a01bd8f,0b33a7ee8a01bd8f,True,100,True,True,7fede89995980c52d7ba544d127b3958,False,False,"seq gap detected: expected 50, got 51",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-drop-m100-p512-r2-1781494120872630,drop,100,512,2,50,101,100,1,0,True,True,True,True,49,51,49,151.453,2,1371,16761.4651,5.97,e25e3f2d5c2bc00d6098ea7f97b7cd5aa9e8b2d6b4d822c9a4fabeb7312ed422,e25e3f2d5c2bc00d6098ea7f97b7cd5aa9e8b2d6b4d822c9a4fabeb7312ed422,e25e3f2d5c2bc00d,e25e3f2d5c2bc00d,True,100,True,True,10ec941615caa82b4c23f4cb0955d3a0,False,False,"seq gap detected: expected 50, got 51",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-drop-m100-p512-r3-1781494137634601,drop,100,512,3,50,101,100,1,0,True,True,True,True,49,51,49,149.2732,2,1371,15704.7248,6.37,db5c75440e87026cc1d5606f09b574f88d47d8b2a52213d6dfb088ebc39520ca,db5c75440e87026cc1d5606f09b574f88d47d8b2a52213d6dfb088ebc39520ca,db5c75440e87026c,db5c75440e87026c,True,100,True,True,d6f2b83ad5fc0332c7b34c097b1f0f66,False,False,"seq gap detected: expected 50, got 51",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-drop-m500-p128-r1-1781494153339642,drop,500,128,1,50,501,500,1,0,True,True,True,True,49,451,49,150.2268,2,1369,89510.8581,5.59,4eec5b233df76feed548590455817bffa602905be1e864c7bfa2755dde151b9c,4eec5b233df76feed548590455817bffa602905be1e864c7bfa2755dde151b9c,4eec5b233df76fee,4eec5b233df76fee,True,500,True,True,18f4672189a7b3c5bfaded40dac5ff53,False,False,"seq gap detected: expected 50, got 51",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-drop-m500-p128-r2-1781494242850972,drop,500,128,2,50,501,500,1,0,True,True,True,True,49,451,49,157.5711,2,1371,87043.3502,5.74,b7f5ae4c084642ee9e1ad9147db9ed77f78fa85f9438d61bdaff02942bc40953,b7f5ae4c084642ee9e1ad9147db9ed77f78fa85f9438d61bdaff02942bc40953,b7f5ae4c084642ee,b7f5ae4c084642ee,True,500,True,True,b47e3d1cfdd5ebded65806c2368aae50,False,False,"seq gap detected: expected 50, got 51",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-drop-m500-p128-r3-1781494329894884,drop,500,128,3,50,501,500,1,0,True,True,True,True,49,451,49,157.5849,2,1371,86529.7801,5.78,f448a379fe17362bd9e5ad3a36a359ede325a5bfee9ee151a31de059b281c5b4,f448a379fe17362bd9e5ad3a36a359ede325a5bfee9ee151a31de059b281c5b4,f448a379fe17362b,f448a379fe17362b,True,500,True,True,c11262c0e83689455e0a68ffe435a22b,False,False,"seq gap detected: expected 50, got 51",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-drop-m500-p512-r1-1781494416425091,drop,500,512,1,50,501,500,1,0,True,True,True,True,49,451,49,167.8011,2,1372,89447.9902,5.59,8311a40173de7c1304bbc39e6c3f65c0218f7ef7c4af04ae7d5d3a1748e2d8a9,8311a40173de7c1304bbc39e6c3f65c0218f7ef7c4af04ae7d5d3a1748e2d8a9,8311a40173de7c13,8311a40173de7c13,True,500,True,True,94bc7953bfcfee61f1b4b3d0004b990e,False,False,"seq gap detected: expected 50, got 51",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-drop-m500-p512-r2-1781494505873603,drop,500,512,2,50,501,500,1,0,True,True,True,True,49,451,49,152.1642,2,1373,82389.6549,6.07,8f6ae205b1c2f89a9487c27d826a08d87c7d4dbab2e5062612edd50a2df9b2e2,8f6ae205b1c2f89a9487c27d826a08d87c7d4dbab2e5062612edd50a2df9b2e2,8f6ae205b1c2f89a,8f6ae205b1c2f89a,True,500,True,True,cb6a3042d264b91bd9bfff69c803b90e,False,False,"seq gap detected: expected 50, got 51",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-drop-m500-p512-r3-1781494588266808,drop,500,512,3,50,501,500,1,0,True,True,True,True,49,451,49,165.189,2,1371,92277.5087,5.42,8988763fdde767c34fa7628dc4e5ccb17744fc39f1cdc251038c8a499464cdc7,8988763fdde767c34fa7628dc4e5ccb17744fc39f1cdc251038c8a499464cdc7,8988763fdde767c3,8988763fdde767c3,True,500,True,True,2b0fe90f61c1d9485faba5832ba4ef62,False,False,"seq gap detected: expected 50, got 51",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-drop-m1000-p128-r1-1781494680545120,drop,1000,128,1,50,1001,1000,1,0,True,True,True,True,49,951,49,162.8358,2,1375,187448.0722,5.33,a314dd148f33af075d7d441255f76b35b5f8d685cfedd2145fe532267ff5addc,a314dd148f33af075d7d441255f76b35b5f8d685cfedd2145fe532267ff5addc,a314dd148f33af07,a314dd148f33af07,True,1000,True,True,01e01738d9fca2015d0ded1250afc4bb,False,False,"seq gap detected: expected 50, got 51",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-drop-m1000-p128-r2-1781494867993803,drop,1000,128,2,50,1001,1000,1,0,True,True,True,True,49,951,49,165.1537,2,1374,181540.4761,5.51,b6e450c5e40b33531668818dbe43fd629127a43515f3637eeeb0414c6bf469ba,b6e450c5e40b33531668818dbe43fd629127a43515f3637eeeb0414c6bf469ba,b6e450c5e40b3353,b6e450c5e40b3353,True,1000,True,True,4d6e80e620faf89d30c1608da092e5d9,False,False,"seq gap detected: expected 50, got 51",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-drop-m1000-p128-r3-1781495049534422,drop,1000,128,3,50,1001,1000,1,0,True,True,True,True,49,951,49,163.8799,2,1376,176369.3001,5.67,f7b185e241b0119029d41999fde1c55406d3ec6a40d1e75584cb887f3c6d02c7,f7b185e241b0119029d41999fde1c55406d3ec6a40d1e75584cb887f3c6d02c7,f7b185e241b01190,f7b185e241b01190,True,1000,True,True,73d3fb45b206a962bb3843642247e21d,False,False,"seq gap detected: expected 50, got 51",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-drop-m1000-p512-r1-1781495225904399,drop,1000,512,1,50,1001,1000,1,0,True,True,True,True,49,951,49,169.4584,2,1374,194461.2181,5.14,d03ac3b9141b6f9a4db56443095a1778d1d0419372cf91c0fa9f503408ece23e,d03ac3b9141b6f9a4db56443095a1778d1d0419372cf91c0fa9f503408ece23e,d03ac3b9141b6f9a,d03ac3b9141b6f9a,True,1000,True,True,0846d537f1662da84880d1fbf0cc9304,False,False,"seq gap detected: expected 50, got 51",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-drop-m1000-p512-r2-1781495420367193,drop,1000,512,2,50,1001,1000,1,0,True,True,True,True,49,951,49,149.894,2,1375,165646.8799,6.04,a483ec770e0bd63dbf6fa06f6976058271a9343192447d762e4595d357109002,a483ec770e0bd63dbf6fa06f6976058271a9343192447d762e4595d357109002,a483ec770e0bd63d,a483ec770e0bd63d,True,1000,True,True,fa5e17bcf5bb6581d4c7c273a2413276,False,False,"seq gap detected: expected 50, got 51",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-drop-m1000-p512-r3-1781495586015542,drop,1000,512,3,50,1001,1000,1,0,True,True,True,True,49,951,49,151.5691,2,1376,170503.957,5.86,712bbfdf424009b7393997a88347505c106c13638da2905ad79e8236302bb304,712bbfdf424009b7393997a88347505c106c13638da2905ad79e8236302bb304,712bbfdf424009b7,712bbfdf424009b7,True,1000,True,True,9abf147a6434145634c42ec1e8b57d28,False,False,"seq gap detected: expected 50, got 51",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-modify-m100-p128-r1-1781495756521298,modify,100,128,1,50,101,100,1,0,True,True,True,True,49,51,49,150.8992,2,1369,17273.5589,5.79,245620e02f54394a268cfaeb371b5d68dd2e501d5b1f4cccabee44056cf75af5,245620e02f54394a268cfaeb371b5d68dd2e501d5b1f4cccabee44056cf75af5,245620e02f54394a,245620e02f54394a,True,100,True,True,b7377bf753503a77fc7d7ef5ffbc02e5,False,False,auth_tag verification failed,ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-modify-m100-p128-r2-1781495773795313,modify,100,128,2,50,101,100,1,0,True,True,True,True,49,51,49,163.425,2,1369,16763.114,5.97,d0b8a67fa28c57ce03da72f9d7eaeb708af0b21c36092f759430c5980ac03ab8,d0b8a67fa28c57ce03da72f9d7eaeb708af0b21c36092f759430c5980ac03ab8,d0b8a67fa28c57ce,d0b8a67fa28c57ce,True,100,True,True,de0ec4aaa574c98acc2e3591bd5b091a,False,False,auth_tag verification failed,ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,38.76.169.74,9000,real-recovery-modify-m100-p128-r3-1781495790558969,modify,100,128,3,50,101,100,1,0,True,True,True,True,49,51,49,163.6062,2,1367,17597.0662,5.68,8807290f979ba4157bce88c0f1cf9a5cdaa302961f48c7962bce214dd931799e,8807290f979ba4157bce88c0f1cf9a5cdaa302961f48c7962bce214dd931799e,8807290f979ba415,8807290f979ba415,True,100,True,True,4af35aedf5ebe5c7fa3791eb9448a6f1,False,False,auth_tag verification failed,ok,memory_ticket_checkpoint
